CHOL
 LDLHDL
 HDL
 CHOLHDL
 NHDL
 TGL
 BMI
 LDL 
BASO
 GLOB
 LYM
 LYMAB
 MONO
 MONOAB
 NEUT
 NEUTAB
 IGM
 EOS
 EOSAB
 BASOAB
A1C
ALB
GLU
